#Gene_name	LTL331_pre_Cx (bio1)	LTL331_pre_Cx (bio2)	LTL331_Cx_8wk	LTL331_Cx_12wk	LTL331_Cx_relapsed_NEPC (bio1)	LTL331_Cx_relapsed_NEPC (bio2)
UCN2	59 	43 	48 	49 	208 	112 
ARIH2	6610 	7721 	7127 	6956 	6672 	7085 
DNAAF2	1058 	899 	715 	950 	1483 	1638 
AP1AR	1692 	1863 	1558 	1726 	1401 	1959 
NR4A2	814 	1161 	1233 	959 	1859 	2991 
EHMT1	7565 	11349 	8817 	9185 	7897 	7981 
ORC4	3119 	3061 	2762 	3001 	3853 	4358 
MAPKAPK5	2449 	2725 	2522 	2513 	2509 	2733 
ENTPD4	3332 	4346 	3152 	3729 	4583 	3953 
MCM2	4221 	5962 	5868 	4946 	8789 	17923 
SPRED1	1022 	854 	633 	912 	1828 	1909 
TMEM248	11104 	11872 	11955 	11163 	5363 	5421 
CCNL1	9818 	8593 	8174 	8945 	8442 	8397 
ARHGAP28	10289 	3964 	5028 	6926 	480 	522 
BRPF1	1897 	2484 	1998 	2129 	3710 	5364 
SPATA2L	507 	369 	472 	426 	672 	420 
TEX38	57 	34 	54 	44 	27 	18 
CTGLF12P	574 	596 	722 	569 	652 	508 
SRP68	4521 	6001 	5243 	5114 	3979 	4806 
ZNF792	651 	880 	765 	744 	201 	203 
DEF8	1643 	1799 	1584 	1674 	2088 	1564 
FOSL1P1	19 	20 	21 	19 	76 	56 
CDK5RAP3	15256 	15566 	17164 	14989 	16229 	8728 
UBTD1	269 	255 	216 	255 	86 	80 
WBSCR27	212 	193 	275 	197 	120 	85 
LRRC19	53 	22 	38 	37 	62 	47 
NUDT5	4326 	4174 	3882 	4135 	3575 	3311 
SYT3	287 	313 	322 	292 	153 	314 
CDK9	3122 	2673 	2857 	2820 	4598 	3580 
USP32	4461 	15024 	9805 	9481 	2863 	2941 
ACRV1	90 	66 	101 	76 	172 	158 
CELF1	4957 	6648 	5800 	5648 	10451 	11050 
RPL18P10	21 	22 	24 	21 	28 	44 
HNRNPH3	16000 	13702 	15986 	14461 	24543 	28056 
ATP2A2	15647 	25667 	17665 	20118 	29038 	36831 
PLXDC2	1527 	1865 	1310 	1652 	2233 	799 
ADD1	18719 	23090 	21405 	20359 	14712 	14960 
CLSTN1	26275 	38088 	37240 	31342 	24596 	22929 
TNFRSF10A	174 	444 	288 	301 	2 	1 
KIAA1731	1408 	2065 	1678 	1691 	4225 	4380 
USP8	5573 	7029 	5193 	6137 	4570 	5761 
YME1L1	10008 	13612 	11203 	11505 	8860 	9776 
GPR63	470 	881 	1127 	658 	1515 	1339 
DAZAP1	8150 	7300 	7517 	7528 	10955 	9883 
C10orf76	1283 	1496 	1438 	1354 	1178 	1149 
BMP4	183 	134 	137 	154 	6 	5 
XRN2	6580 	6821 	6285 	6531 	7943 	9496 
CCDC58	517 	564 	540 	527 	323 	589 
ALOX12B	33 	68 	70 	50 	12 	41 
SRRD	660 	693 	598 	659 	982 	1329 
FAM91A1	5906 	9816 	6911 	7664 	7718 	7862 
ZNF335	3965 	3753 	3576 	3762 	3778 	4896 
CBWD6	728 	662 	725 	677 	321 	336 
ZBED3	5184 	5383 	4836 	5151 	2491 	4173 
BCL2L15	55 	61 	73 	57 	168 	301 
MRPL10	2098 	3039 	2722 	2505 	2107 	3446 
RHOT1	2988 	4676 	3698 	3737 	3023 	2805 
PRKRIR	3989 	4587 	3938 	4182 	5023 	6728 
UQCC1	2726 	2771 	2895 	2681 	3446 	3167 
XYLT1	3611 	5108 	5318 	4253 	3461 	4370 
EIF4A1	510 	724 	574 	602 	1038 	1397 
YES1	5836 	8816 	6196 	7150 	4563 	5888 
IDH3A	975 	1352 	1011 	1135 	1343 	1193 
CRYBG3	365 	647 	314 	494 	408 	663 
POLR3C	1060 	1030 	1052 	1020 	1168 	1633 
NOC3L	898 	946 	816 	900 	840 	987 
TRUB1	816 	1092 	1017 	931 	2080 	2336 
PRKCE	488 	592 	504 	527 	372 	399 
GRWD1	2706 	2863 	2976 	2719 	3440 	5282 
CHRDL1	189 	396 	461 	285 	209 	62 
TMEM182	298 	377 	364 	330 	629 	427 
SREK1	17692 	15975 	13502 	16438 	25953 	17189 
EFCAB11	544 	558 	507 	538 	463 	382 
CETN2	3112 	1383 	1471 	2195 	5186 	2809 
ZNF783	2012 	2226 	2346 	2069 	1014 	1053 
AMOTL1	22228 	40899 	49857 	30828 	38538 	40292 
ENTPD2	2334 	2281 	2055 	2254 	261 	130 
HPS1	1901 	1780 	1761 	1798 	1164 	1056 
MARK3	5276 	4787 	4791 	4915 	8611 	8395 
ADAMTS3	89 	197 	208 	140 	2 	0 
UNG	4512 	4335 	4976 	4322 	6803 	5918 
TREX2	61 	32 	37 	45 	112 	71 
IL10RB	1564 	1257 	1109 	1378 	575 	529 
PSMG4	994 	1005 	950 	977 	1395 	1558 
TRIQK	2325 	3317 	3078 	2756 	1930 	2122 
GID8	3168 	2933 	3042 	2981 	3517 	4048 
TMC4	9782 	7965 	8564 	8672 	3867 	1932 
SNX30	1047 	2610 	1901 	1787 	3216 	5146 
HCLS1	70 	98 	130 	82 	64 	38 
UBXN4	17420 	18440 	14974 	17528 	15190 	14100 
TIGD2	857 	774 	634 	797 	475 	637 
CHRNB2	242 	574 	513 	399 	5817 	5986 
NCAPG2	3231 	5304 	4668 	4173 	9716 	9086 
VPS13A	4396 	7222 	4599 	5680 	19876 	11957 
RNF220	3060 	3394 	3407 	3156 	3516 	4591 
ANKRD40	3945 	7428 	6129 	5562 	4769 	6486 
DNMT1	9084 	13006 	12981 	10804 	26790 	26627 
VN1R1	263 	184 	176 	219 	164 	171 
CDKN2AIP	1485 	1264 	1138 	1344 	1959 	2450 
HDAC11	1116 	1087 	968 	1078 	383 	306 
ID1	126 	275 	305 	196 	582 	330 
ATP1A1	30467 	40169 	32827 	34553 	63579 	66696 
C8orf34	907 	755 	1041 	813 	35 	24 
MARCH7	3657 	3265 	3057 	3387 	3564 	3404 
HIST3H2BB	31 	78 	51 	53 	16 	21 
RAB14	7764 	7719 	7637 	7576 	7661 	7794 
TIFA	887 	963 	659 	905 	1260 	1275 
PRRT3	2424 	3480 	3537 	2889 	1661 	1615 
BRD9	2392 	2331 	2011 	2312 	3484 	3023 
PPIL4	2396 	2057 	1995 	2179 	1767 	1673 
COMMD3	1738 	697 	936 	1192 	1346 	1231 
CDC37L1	1342 	960 	1146 	1127 	1152 	1086 
ZC3H7A	4353 	4377 	4302 	4275 	5078 	6077 
ABCF3	3339 	3662 	3561 	3428 	2420 	2612 
POLDIP3	2825 	3534 	3201 	3115 	9090 	10506 
KCNG1	567 	900 	1425 	719 	2149 	2692 
FTH1	38945 	20574 	19066 	29159 	24499 	19766 
FADD	388 	498 	425 	434 	462 	547 
RXRA	9512 	11356 	9829 	10224 	3909 	2225 
WBSCR16	669 	998 	877 	817 	754 	864 
CBR3-AS1	2097 	1979 	2331 	1998 	121 	65 
FUT10	164 	275 	198 	215 	190 	224 
GSTK1	4916 	2981 	3769 	3870 	1280 	974 
SGCB	3375 	5409 	4371 	4305 	10844 	10101 
KLC1	3923 	4509 	3366 	4132 	5437 	5149 
DHX33	1426 	1966 	1655 	1662 	1750 	2153 
NAT1	361 	363 	272 	355 	2 	1 
HIF1A	10090 	10764 	10849 	10224 	19892 	28998 
RELA	7058 	6391 	5955 	6593 	4577 	5041 
CERS6	7628 	8669 	7517 	7990 	9868 	9589 
SDCCAG8	2666 	2057 	3113 	2316 	1984 	2103 
MAT1A	135 	501 	115 	312 	976 	435 
CLK3	3885 	3224 	3566 	3487 	3662 	3780 
ZBTB22	1580 	1715 	1664 	1616 	1100 	1367 
ZEB1-AS1	721 	725 	729 	709 	2076 	1520 
FAM60A	4311 	4664 	2973 	4403 	9441 	10139 
MLYCD	294 	332 	275 	307 	1662 	1126 
NAGPA	672 	712 	589 	679 	338 	400 
MFAP1	2357 	2442 	2320 	2355 	2277 	2530 
TRIM65	1458 	2804 	2121 	2091 	1411 	1293 
COX6B1P2	9 	2 	22 	5 	0 	0 
RSPRY1	1663 	1794 	1631 	1697 	2558 	2637 
DIS3	1495 	2105 	1518 	1767 	2537 	3212 
B4GALT6	1212 	1203 	1211 	1185 	2762 	3342 
SNRNP200	21736 	57040 	40856 	38674 	63336 	78974 
TBC1D25	1344 	1757 	1545 	1522 	2010 	2431 
LRRC61	1324 	1132 	1374 	1206 	1736 	1785 
NDST2	758 	833 	700 	781 	706 	661 
DNM2	15023 	19120 	16030 	16764 	15404 	15177 
XRCC1	2311 	1786 	1864 	2012 	5001 	3183 
PAFAH2	1949 	2046 	1955 	1962 	1770 	1176 
SSR4P1	97 	70 	105 	82 	59 	62 
CRYM	943 	1161 	1789 	1034 	84 	21 
TFB1M	530 	470 	448 	491 	544 	369 
ATP11C	1429 	3169 	1900 	2258 	5449 	4637 
KCTD6	504 	486 	518 	487 	1048 	971 
SNX18	1537 	2265 	1937 	1868 	927 	1352 
ZNF211	1689 	924 	1299 	1284 	1611 	1425 
SLC20A1	3532 	3531 	2908 	3471 	7677 	8405 
PITPNM2	733 	713 	583 	711 	20761 	17932 
DAG1	16337 	28342 	22178 	21957 	17646 	17992 
CYB5D1	1771 	1838 	1719 	1774 	1388 	1518 
SH3BP2	8726 	11205 	9831 	9796 	9635 	9341 
STX3	2969 	3040 	2622 	2954 	1990 	2113 
NUP62	6410 	7036 	6052 	6610 	14222 	16429 
MCM8	1728 	2131 	1983 	1897 	3976 	3801 
DHX29	2425 	3215 	2691 	2773 	1961 	2813 
CPNE5	47 	51 	50 	48 	47 	72 
KCNIP4	93 	91 	90 	91 	270 	183 
MAFG-AS1	600 	576 	476 	578 	860 	553 
TMEM44-AS1	259 	163 	295 	208 	282 	281 
LLNLR-246C6.1	310 	259 	270 	280 	266 	237 
DNAJC18	889 	875 	1126 	868 	1618 	1821 
TASP1	682 	613 	554 	637 	583 	597 
MAPK3	3603 	3122 	3565 	3308 	3375 	2891 
ABCC4	1513 	1046 	982 	1259 	39 	23 
EXO5	730 	675 	634 	691 	1428 	1423 
RN7SL529P	18 	10 	25 	13 	24 	20 
MTIF2	1777 	1769 	1675 	1745 	1875 	1889 
SGSH	7715 	12346 	10814 	9875 	2333 	2217 
NRP1	23408 	10976 	21428 	16925 	1091 	4073 
LDHD	184 	270 	293 	224 	11 	6 
ZDHHC11B	339 	462 	351 	394 	1726 	623 
ATG4C	538 	463 	573 	493 	910 	685 
SNX16	738 	742 	846 	729 	1331 	1024 
OVOL2	1261 	1029 	1151 	1128 	1711 	1044 
NPIPA1	908 	1155 	1096 	1016 	1330 	955 
ACBD5	4508 	5407 	5056 	4883 	4176 	3980 
ARPC4-TTLL3	72 	187 	77 	128 	175 	171 
GOLGA3	9332 	14652 	12295 	11813 	10570 	12031 
CAMSAP1	4028 	6733 	4346 	5301 	11746 	14374 
C9orf156	731 	692 	628 	701 	933 	1189 
SOHLH2	43 	31 	37 	36 	6 	4 
LONRF3	150 	691 	338 	415 	7 	6 
ZBTB48	1868 	1435 	1587 	1628 	1757 	1978 
PARP2	2180 	1984 	2212 	2052 	3048 	3358 
SMC1A	7543 	11932 	10785 	9598 	23877 	24358 
TES	2389 	2077 	1360 	2201 	58 	91 
PCMTD2	7635 	7983 	8134 	7698 	5983 	5371 
WDR4	473 	897 	660 	676 	1531 	1807 
CHRNB1	227 	191 	211 	206 	183 	211 
RORC	2253 	2044 	2069 	2119 	13 	10 
HERC2P9	3460 	1917 	2346 	2651 	3284 	2580 
NMD3	2486 	2700 	2334 	2558 	1898 	2170 
SPIN4	2832 	4170 	4021 	3454 	3187 	2662 
PCF11	4485 	5427 	5063 	4889 	4962 	6523 
PCDHGB2	422 	390 	361 	401 	128 	138 
USP6	123 	99 	144 	110 	135 	91 
DNAJC10	11105 	11306 	8980 	11057 	11654 	7728 
PCDHB13	1462 	1567 	1628 	1495 	732 	435 
DTNA	1680 	615 	635 	1132 	848 	546 
MAPK1	6872 	9862 	9037 	8258 	16395 	15562 
MTF2	3376 	2670 	2635 	2984 	3874 	4676 
CCZ1B	1026 	996 	951 	998 	1017 	1044 
TTL	2501 	2788 	2913 	2611 	10527 	9560 
MTUS2	255 	249 	475 	249 	48 	29 
TTC33	1092 	1088 	1162 	1076 	1384 	1322 
ZNF146	8066 	8783 	7472 	8320 	10676 	13867 
NBPF10	4413 	3068 	3173 	3694 	28 	11 
RNF8	1187 	950 	1108 	1055 	1466 	1441 
RBP5	65 	35 	52 	49 	52 	35 
FLYWCH1	2263 	2796 	2515 	2499 	2741 	2402 
PJA2	8620 	13200 	11915 	10778 	8942 	9591 
PKP2	1261 	2156 	1462 	1688 	834 	724 
VN1R82P	44 	14 	38 	29 	96 	56 
MROH8	236 	227 	202 	229 	580 	343 
TNFSF12	294 	339 	376 	313 	6 	6 
LEPROTL1	1369 	1042 	1186 	1192 	1331 	1437 
SEC24A	3354 	6035 	4576 	4640 	2695 	3542 
DVL3	15399 	18079 	15532 	16546 	19138 	18595 
ENTPD7	399 	657 	436 	522 	623 	710 
TRIM68	1166 	1264 	1351 	1201 	438 	481 
DCAF12	5646 	7639 	6326 	6567 	8283 	7814 
FBXL12	1458 	1191 	1406 	1309 	812 	906 
EFTUD2	5844 	10976 	7461 	8315 	5851 	7505 
IGFBP5	2873 	11728 	8289 	7219 	62259 	119117 
CCDC127	1928 	2701 	2200 	2288 	2054 	2555 
C20orf96	1499 	1252 	1420 	1360 	2329 	1652 
LRRC3DN	272 	245 	231 	256 	208 	124 
ASAH2	78 	99 	51 	88 	98 	82 
EML2	1920 	1987 	2300 	1933 	1939 	1486 
KIAA1875	1505 	1795 	1618 	1632 	1627 	1300 
SRP72P2	39 	45 	40 	41 	63 	62 
RING1	1579 	1412 	1642 	1480 	1427 	1399 
PPP3R1	2203 	2281 	1913 	2219 	1933 	2494 
TCHP	1697 	2019 	1641 	1839 	2083 	1898 
ZNF784	993 	719 	805 	847 	793 	848 
PHLDB1	3375 	6112 	3630 	4695 	10320 	11482 
KBTBD8	59 	55 	52 	56 	772 	901 
ASH2L	4578 	4656 	4365 	4571 	7030 	6849 
HS6ST1	4247 	4914 	3533 	4535 	4076 	2767 
RPS3AP26	70 	25 	37 	47 	39 	36 
EPS15	7314 	9099 	8868 	8127 	3828 	2632 
PPP4R2	5465 	5091 	4530 	5227 	6374 	6971 
SLC25A35	1951 	2128 	2382 	2020 	1693 	1214 
RIC8B	1198 	1065 	1198 	1121 	3110 	2741 
PRR12	8901 	11636 	11441 	10172 	10473 	11269 
IL21R	46 	86 	121 	65 	6 	6 
STK10	479 	867 	614 	667 	844 	612 
CACNB1	2372 	4875 	2680 	3591 	1731 	2121 
GNAZ	645 	781 	721 	707 	4316 	3607 
EIF2AK2	14228 	16330 	13487 	15144 	7743 	7988 
ZSCAN31	509 	504 	505 	502 	367 	558 
SLC35G6	14 	14 	26 	14 	34 	50 
METTL23	1389 	1411 	1519 	1388 	1040 	1064 
PFKFB3	1389 	1397 	824 	1381 	2113 	2011 
BAP1	5341 	6852 	5912 	6046 	7808 	8422 
ZNF664	15102 	19531 	12112 	17174 	17704 	19683 
LDB1	2082 	2557 	2227 	2301 	2784 	3330 
SFXN3	360 	871 	590 	610 	1140 	813 
PDGFB	265 	264 	260 	262 	29 	38 
IZUMO1	29 	64 	45 	46 	197 	99 
SEC61A2	1637 	1286 	1470 	1450 	2640 	2076 
RALGAPA2	12795 	20491 	16762 	16514 	16426 	13295 
ANKLE2	9620 	9517 	8475 	9495 	12528 	12554 
ZNF200	1398 	1096 	1141 	1237 	1400 	1390 
TCERG1L	72 	142 	195 	106 	6212 	3837 
ZSCAN21	597 	482 	509 	536 	640 	727 
TMEM161B-AS1	526 	425 	490 	472 	439 	365 
PMS2P4	223 	332 	485 	275 	240 	194 
SLC41A3	1637 	1594 	1770 	1604 	2538 	3314 
EIF5	15566 	15730 	14705 	15540 	15383 	22036 
TYW1	2189 	1954 	2312 	2057 	1771 	1638 
HSPBAP1	923 	810 	864 	860 	675 	881 
STAU1	10113 	10433 	9361 	10204 	9822 	9452 
FLNC	874 	2715 	2392 	1782 	10432 	4106 
DCST2	499 	382 	558 	438 	58 	17 
OR7E91P	201 	176 	290 	187 	2 	0 
FBXO46	2342 	1960 	2709 	2137 	3040 	2776 
AKIRIN2	1684 	1271 	1298 	1468 	4192 	4124 
DSCC1	348 	246 	367 	295 	1702 	1285 
AHCTF1	4075 	7695 	6741 	5848 	8265 	9963 
SUPT5H	11394 	12226 	14241 	11735 	8864 	10665 
RNF31	1754 	2394 	1954 	2061 	2127 	2462 
HIBCH	1726 	1562 	1758 	1634 	777 	592 
RABGGTA	1614 	1679 	1717 	1636 	1796 	1852 
CDIP1	1063 	731 	949 	892 	1554 	1108 
HHIPL1	275 	622 	666 	445 	13 	14 
TRIM41	3042 	2854 	2855 	2931 	5495 	5618 
MST1	1614 	1253 	1529 	1426 	1358 	974 
SEC22A	1434 	912 	1086 	1166 	868 	1034 
ZMYND11	7051 	10288 	9135 	8623 	8429 	7846 
SPIDR	7583 	9024 	8554 	8260 	11579 	7404 
RPS20P22	95 	75 	60 	84 	181 	77 
NIT1	1781 	1542 	1866 	1653 	1505 	1136 
PTCHD3P1	1156 	1210 	1100 	1177 	1057 	1129 
NAF1	834 	1157 	928 	990 	949 	1255 
PDZD7	141 	345 	288 	242 	767 	534 
ABCA11P	669 	442 	487 	553 	407 	256 
ITGB3BP	1465 	1068 	1221 	1261 	2536 	2263 
LRFN3	2635 	2127 	2475 	2370 	2594 	2411 
FAM217B	1218 	2241 	1888 	1722 	1143 	1993 
UBE2V1	971 	1327 	987 	1144 	1040 	1453 
GLYR1	4866 	7725 	5835 	6268 	6241 	6536 
PPID	1325 	1195 	1221 	1255 	1282 	1336 
SRSF11	25922 	23505 	22528 	24619 	25449 	19112 
CRY1	2543 	3170 	2451 	2846 	2098 	1890 
ACTR8	1593 	2646 	2377 	2112 	2252 	2576 
TOPBP1	4235 	6403 	5228 	5299 	7453 	13604 
DLGAP4	11209 	7918 	6807 	9528 	24761 	13459 
HIST1H2BK	2063 	657 	2054 	1355 	429 	558 
ZBTB49	416 	302 	346 	358 	266 	301 
MYADML2	31 	77 	68 	54 	78 	107 
ABL1	10203 	14062 	10504 	12091 	11974 	15498 
PDZRN3	2071 	1643 	1758 	1851 	6814 	5309 
NT5C2	1246 	2791 	1844 	2012 	889 	860 
NOMO2	672 	2191 	1525 	1427 	1464 	1556 
CEL	308 	129 	191 	218 	381 	235 
ITPK1-AS1	67 	68 	58 	67 	61 	65 
SCIMP	131 	93 	165 	112 	138 	115 
ZBTB1	3685 	3257 	3382 	3461 	3770 	3056 
MRPL38	1045 	1407 	1229 	1223 	1055 	1407 
RCL1	797 	918 	893 	855 	644 	763 
VRK2	1035 	1231 	824 	1130 	1815 	1582 
COL6A2	12788 	11404 	12758 	12064 	1092 	723 
BRD1	2421 	3136 	2618 	2772 	7431 	9429 
TCP11L1	529 	750 	505 	638 	775 	802 
CENPBD1P1	1852 	2024 	1771 	1934 	3362 	3866 
MARVELD1	816 	528 	975 	671 	144 	404 
FAM76A	1360 	831 	1171 	1093 	2587 	1816 
IER5L	1002 	468 	312 	734 	723 	626 
FAR2P1	292 	278 	293 	285 	63 	42 
SNX11	1540 	1824 	1575 	1680 	1221 	1673 
ADCK3	2864 	3603 	3261 	3229 	3262 	2354 
TBP	1087 	1304 	1330 	1194 	1187 	1498 
CKAP4	4748 	4136 	2887 	4438 	4172 	4508 
ZNF212	1501 	1254 	1372 	1376 	1382 	1647 
IVNS1ABP	3286 	3541 	3607 	3411 	11061 	10012 
ADNP2	2235 	3622 	2524 	2927 	2661 	4293 
KPNB1	14065 	27213 	23156 	20628 	17296 	21395 
POLR3D	874 	1343 	1181 	1108 	1404 	1885 
POLR3A	6788 	9282 	8227 	8033 	10547 	15300 
RPS6KB1	4372 	6866 	5380 	5618 	3442 	3950 
RAPGEFL1	2561 	4265 	2553 	3412 	1927 	1814 
CRCP	3537 	4625 	4055 	4081 	3148 	4105 
INCA1	45 	31 	40 	38 	53 	46 
HOXA3	457 	121 	265 	289 	349 	844 
AIF1L	1433 	1939 	2214 	1687 	1513 	1158 
ZHX2	3679 	3681 	3541 	3682 	413 	277 
ZFP91	5374 	7111 	5853 	6247 	8220 	9364 
TBPL1	1311 	802 	885 	1057 	1334 	1426 
MRPS31	470 	341 	379 	406 	478 	441 
SUPT16H	10706 	15705 	13559 	13217 	19266 	21715 
RABEP1	5380 	7791 	7598 	6593 	4567 	4681 
PPA2	5979 	3508 	7297 	4749 	2080 	1701 
ZNF724P	149 	253 	224 	201 	666 	1131 
EXOSC8	851 	449 	626 	651 	1702 	1442 
PARP9	8052 	5425 	6150 	6748 	478 	600 
WDR92	526 	444 	371 	486 	692 	546 
SAMD4A	1289 	2104 	1162 	1699 	87 	34 
GFPT1	10297 	15311 	13803 	12826 	10745 	10376 
CHERP	5976 	8379 	7364 	7190 	8655 	10568 
PIKFYVE	4458 	9843 	6636 	7163 	4611 	4596 
CDC26	444 	324 	463 	385 	303 	355 
MOB1B	3479 	5809 	4691 	4653 	2628 	2959 
VPS37A	1546 	1672 	1614 	1612 	1579 	1332 
CCZ1	1036 	1076 	966 	1058 	1171 	1274 
DCTN1	6538 	11706 	9794 	9142 	32754 	30466 
AGAP1	4990 	7118 	5022 	6067 	8441 	10814 
MRPS30	1627 	1605 	1798 	1620 	2109 	2026 
ITPR1-AS1	21 	11 	27 	16 	2 	2 
MRPS5	2757 	2592 	2644 	2681 	2474 	2013 
SPPL2A	4595 	4268 	3457 	4442 	3318 	3389 
EEF2K	2444 	4006 	2731 	3233 	1907 	1857 
RILP	176 	151 	161 	164 	40 	25 
C1orf222	87 	132 	73 	110 	10263 	1901 
IL10RA	35 	66 	39 	51 	35 	97 
PANK2	2328 	2199 	2508 	2270 	2966 	3777 
BUD13	1330 	1119 	1163 	1228 	1658 	1925 
RALBP1	4843 	6962 	5694 	5920 	5104 	4830 
P2RX4	1658 	1298 	1649 	1482 	683 	512 
HEATR3	722 	921 	851 	824 	1239 	1243 
SRRM2-AS1	981 	824 	1212 	905 	1304 	987 
PPFIA1	4757 	6491 	5885 	5644 	7272 	7638 
PODNL1	112 	105 	150 	109 	98 	89 
OAS3	11031 	10690 	7550 	10902 	16786 	15582 
ZDHHC5	7777 	10683 	9333 	9265 	7340 	7477 
IQCC	1114 	1047 	1038 	1085 	2035 	1684 
COQ7	2136 	1986 	2373 	2069 	3292 	2718 
PACS1	13262 	12606 	13336 	12984 	3761 	3605 
LIMK1	1376 	1959 	1742 	1674 	3104 	2896 
PRKAG2	3253 	3845 	3051 	3565 	961 	639 
EBF4	3706 	1978 	3271 	2854 	2999 	2534 
CRB3	615 	687 	608 	654 	446 	468 
HNRNPLL	3361 	3489 	3794 	3441 	4055 	4023 
RAD9A	3949 	2752 	2612 	3367 	3346 	2565 
PDPK1	4383 	6592 	5292 	5514 	5369 	5387 
ZHX1	4771 	5057 	5100 	4938 	6274 	5985 
SFTPD	316 	73 	207 	195 	154 	75 
PDCD7	1358 	1344 	1344 	1358 	1080 	1341 
TOP1MT	722 	891 	937 	811 	273 	226 
OR51E1	4157 	3728 	6446 	3963 	9 	4 
EPM2AIP1	7209 	7534 	8144 	7411 	8244 	8588 
C11orf49	1522 	999 	1194 	1267 	1561 	1250 
PCNT	5120 	8715 	7534 	6954 	19994 	14131 
TM4SF1	3153 	2257 	1294 	2719 	451 	342 
SPATA7	1079 	671 	716 	880 	737 	537 
LHPP	484 	260 	402 	374 	125 	87 
SLC8B1	2757 	2584 	2223 	2686 	1714 	1334 
UBFD1	5422 	9052 	7657 	7279 	5419 	7145 
C1RL-AS1	606 	468 	506 	540 	456 	350 
PPP1R9B	2862 	4613 	3669 	3760 	6025 	4133 
DTX2	1481 	1369 	1078 	1434 	717 	613 
CEP78	2811 	3563 	2838 	3207 	14085 	8849 
ZNF720	1282 	1670 	1403 	1485 	1474 	1555 
SMARCAL1	1609 	1455 	1622 	1542 	1264 	1005 
ALKBH4	775 	667 	776 	726 	908 	922 
GOLGA4	10323 	13559 	11720 	12020 	12106 	9418 
HDAC6	4414 	5820 	6194 	5152 	10853 	7670 
SEC22B	2743 	3504 	3609 	3145 	2021 	2439 
SMIM14	12905 	12472 	11997 	12777 	5725 	4820 
PHRF1	2616 	3336 	2813 	2997 	4327 	4622 
LOXL1-AS1	763 	901 	1010 	838 	255 	232 
PIM2	594 	856 	679 	730 	1138 	1331 
PACRGL	909 	1055 	864 	989 	1552 	1477 
ZNF202	965 	710 	812 	843 	1443 	1578 
HSD17B1	539 	443 	541 	495 	389 	428 
NUPL1	3903 	4049 	4010 	4005 	7779 	7306 
RAG1	63 	196 	98 	130 	13 	16 
SNRPGP15	389 	364 	419 	379 	250 	150 
SNHG14	9188 	9508 	10181 	9417 	13827 	13137 
MYL9	859 	1055 	1133 	964 	178 	99 
VASN	2928 	2081 	1326 	2523 	1114 	1371 
SIAE	2564 	3538 	3418 	3074 	1190 	1142 
SPIN3	447 	670 	574 	563 	311 	277 
PPM1J	288 	372 	463 	333 	15 	13 
ZNF320	3308 	4083 	3768 	3725 	3380 	3425 
FAM21C	1448 	3367 	2292 	2426 	1357 	1023 
RWDD3	518 	666 	574 	596 	495 	420 
DDIT4L	67 	66 	66 	67 	24 	37 
MOSPD1	967 	905 	754 	944 	705 	712 
SP6	246 	603 	299 	428 	138 	360 
BZW1	9598 	9374 	9592 	9567 	6721 	7467 
SLC25A14	803 	555 	578 	685 	1325 	1087 
CAP2	775 	1037 	1130 	914 	2562 	1728 
RBMX	17741 	18535 	18716 	18295 	26836 	30437 
C16orf96	71 	47 	115 	59 	13 	6 
CDC27	4943 	8543 	7098 	6802 	6624 	7887 
IMPACT	3954 	5141 	4779 	4588 	3019 	3082 
PRKACA	5127 	4192 	5518 	4701 	4702 	3940 
GLUL	9827 	9238 	6646 	9619 	9606 	7447 
ATP2C1	14603 	18559 	17522 	16733 	5647 	8565 
YPEL1	532 	740 	598 	642 	1619 	1560 
ERN1	5385 	7729 	5713 	6618 	1356 	3115 
CRELD1	1773 	1340 	2047 	1571 	1077 	789 
PDLIM7	2505 	1597 	2441 	2070 	2349 	1749 
DNAJC24	188 	388 	240 	291 	672 	761 
RAB11FIP5	1870 	2664 	2097 	2289 	1685 	1796 
TMEM184A	4836 	6372 	4842 	5658 	27436 	18294 
DTX3	4156 	4059 	4066 	4148 	9082 	7123 
CLK1	10342 	6146 	7350 	8325 	7747 	7811 
OTX1	703 	1067 	722 	894 	292 	250 
SLC44A4	17511 	19687 	7065 	18783 	102 	50 
HLTF	8332 	13201 	13025 	10874 	4981 	5671 
USP38	3013 	3991 	3476 	3538 	3762 	4448 
TMEM17	357 	329 	327 	346 	659 	621 
C2orf44	874 	932 	857 	912 	1422 	1619 
CRYBB2P1	704 	688 	700 	703 	1976 	2044 
AMFR	2759 	4268 	3662 	3550 	1034 	1170 
TRIM7	438 	433 	581 	440 	131 	132 
CIRBP	24082 	19660 	25219 	22097 	21567 	16904 
ATXN7L3	4159 	6046 	5263 	5156 	6407 	6849 
FANCI	3692 	5266 	4590 	4527 	12840 	10223 
ZNF670	284 	385 	286 	338 	628 	813 
DHDDS	2839 	3624 	3495 	3268 	3241 	3238 
PDE8A	2561 	2074 	1479 	2344 	2067 	1779 
ZNF33B	3828 	4313 	3326 	4117 	4311 	4303 
FBXL17	1571 	2218 	2182 	1916 	1117 	1241 
TSR1	2135 	3751 	3056 	2977 	3157 	4463 
MAK16	685 	614 	679 	657 	729 	939 
RASSF2	2419 	5399 	5576 	3955 	279 	568 
RBMS1	2302 	2102 	1437 	2228 	1546 	1843 
NES	349 	392 	546 	375 	751 	872 
